,game_date,home_team,away_team,city,distance_from_last_location_home_team,distance_from_last_location_away_team
181,2000-04-16,CHA,ANA,Chicago,1315.6827805633404,2793.736054665992
182,2000-04-16,CLE,TEX,Cleveland,496.24153962192827,1675.8388644162544
183,2000-04-16,DET,TBA,Detroit,3353.596216190899,874.4497225862725
184,2000-04-16,MIN,BAL,Minneapolis,0.0,1511.137712694077
185,2000-04-16,NYA,KCA,New York,3926.295550369479,551.2472669034609
186,2000-04-16,TOR,SEA,Toronto,0.0,3334.1735367384895
187,2000-04-17,ARI,COL,Phoenix,0.0,2561.969410841943
188,2000-04-17,CHN,FLO,Chicago,10159.00877586389,1911.921733357871
189,2000-04-17,BOS,OAK,Boston,4010.9713255337056,4330.993319347035
190,2000-04-17,TEX,NYA,Arlington,0.0,1938.5131194406656
191,2000-04-17,TOR,ANA,Toronto,0.0,3486.7220172564316
192,2000-04-18,ARI,COL,Phoenix,0.0,2561.969410841943
193,2000-04-18,ATL,PHI,Atlanta,0.0,2561.969410841943
194,2000-04-18,CIN,SFN,Cincinnati,0.0,1532.1956817089242
195,2000-04-18,FLO,PIT,Miami,0.0,1626.8677705316793
196,2000-04-18,LAN,HOU,Los Angeles,3974.8856076394213,3439.148162606461
197,2000-04-18,MON,CHN,Montreal,0.0,10411.694360321466
198,2000-04-18,NYN,MIL,New York,10870.832449398718,915.4415067782049
199,2000-04-18,SLN,SDN,St. Louis,0.0,1405.7827860344305
200,2000-04-18,CHA,SEA,Chicago,1315.6827805633404,2796.4910207211624
201,2000-04-18,CLE,OAK,Cleveland,496.24153962192827,3474.5850359737688
202,2000-04-18,DET,BOS,Detroit,3353.596216190899,3119.28311679125
203,2000-04-18,MIN,KCA,Minneapolis,0.0,1115.7884411086127
204,2000-04-18,TEX,NYA,Arlington,0.0,1938.5131194406656
205,2000-04-18,TOR,ANA,Toronto,0.0,3486.7220172564316
206,2000-04-19,ARI,COL,Phoenix,0.0,2561.969410841943
207,2000-04-19,ATL,PHI,Atlanta,0.0,2561.969410841943
208,2000-04-19,CIN,SFN,Cincinnati,0.0,1532.1956817089242
209,2000-04-19,FLO,PIT,Miami,0.0,1626.8677705316793
210,2000-04-19,LAN,HOU,Los Angeles,3974.8856076394213,3439.148162606461
211,2000-04-19,MON,CHN,Montreal,0.0,10411.694360321466
212,2000-04-19,NYN,MIL,New York,10870.832449398718,915.4415067782049
213,2000-04-19,SLN,SDN,St. Louis,0.0,1405.7827860344305
214,2000-04-19,BAL,TBA,Baltimore,0.0,1511.137712694077
215,2000-04-19,CHA,SEA,Chicago,1315.6827805633404,2796.4910207211624
216,2000-04-19,CLE,OAK,Cleveland,496.24153962192827,3474.5850359737688
217,2000-04-19,DET,BOS,Detroit,3353.596216190899,3119.28311679125
218,2000-04-19,MIN,KCA,Minneapolis,0.0,1115.7884411086127
219,2000-04-19,TEX,NYA,Arlington,0.0,1938.5131194406656
220,2000-04-19,TOR,ANA,Toronto,0.0,3486.7220172564316
221,2000-04-20,ARI,COL,Phoenix,0.0,2561.969410841943
222,2000-04-20,ATL,PHI,Atlanta,0.0,2561.969410841943
223,2000-04-20,CIN,SFN,Cincinnati,0.0,1532.1956817089242
224,2000-04-20,FLO,PIT,Miami,0.0,1626.8677705316793
225,2000-04-20,MON,CHN,Montreal,0.0,10411.694360321466
226,2000-04-20,NYN,MIL,New York,10870.832449398718,915.4415067782049
227,2000-04-20,SLN,SDN,St. Louis,0.0,1405.7827860344305
228,2000-04-20,BAL,TBA,Baltimore,0.0,1511.137712694077
229,2000-04-20,CLE,OAK,Cleveland,496.24153962192827,3474.5850359737688
230,2000-04-20,MIN,KCA,Minneapolis,0.0,1115.7884411086127
231,2000-04-20,TOR,ANA,Toronto,0.0,3486.7220172564316
232,2000-04-21,ARI,SFN,Phoenix,0.0,3188.9619650868126
233,2000-04-21,ATL,PIT,Atlanta,0.0,839.1684088950178
234,2000-04-21,CIN,LAN,Cincinnati,0.0,1147.0541058560368
235,2000-04-21,FLO,PHI,Miami,0.0,3188.9619650868126
236,2000-04-21,HOU,SDN,Houston,1830.9507633957282,2283.4731891218285
237,2000-04-21,MON,MIL,Montreal,0.0,1147.0541058560368
238,2000-04-21,SLN,COL,St. Louis,0.0,751.5565326239617
239,2000-04-21,CHA,DET,Chicago,1315.6827805633404,2979.1608164587815
240,2000-04-21,OAK,BAL,Oakland,0.0,3941.189395311595
241,2000-04-21,SEA,KCA,Seattle,0.0,3334.1735367384895
242,2000-04-21,TBA,ANA,St. Petersburg,7290.366266978277,9205.096125674738
243,2000-04-21,TEX,MIN,Arlington,0.0,1398.8578169230404
244,2000-04-21,TOR,NYA,Toronto,0.0,3486.7220172564316
245,2000-04-22,ARI,SFN,Phoenix,0.0,3188.9619650868126
246,2000-04-22,ATL,PIT,Atlanta,0.0,839.1684088950178
247,2000-04-22,CIN,LAN,Cincinnati,0.0,1147.0541058560368
248,2000-04-22,FLO,PHI,Miami,0.0,3188.9619650868126
249,2000-04-22,HOU,SDN,Houston,1830.9507633957282,2283.4731891218285
250,2000-04-22,MON,MIL,Montreal,0.0,1147.0541058560368
251,2000-04-22,NYN,CHN,New York,10870.832449398718,10870.832449398718
252,2000-04-22,NYN,CHN,New York,10870.832449398718,10870.832449398718
253,2000-04-22,SLN,COL,St. Louis,0.0,751.5565326239617
254,2000-04-22,CHA,DET,Chicago,1315.6827805633404,2979.1608164587815
255,2000-04-22,OAK,BAL,Oakland,0.0,3941.189395311595
256,2000-04-22,SEA,KCA,Seattle,0.0,3334.1735367384895
257,2000-04-22,TBA,ANA,St. Petersburg,7290.366266978277,9205.096125674738
258,2000-04-22,TEX,MIN,Arlington,0.0,1398.8578169230404
259,2000-04-22,TOR,NYA,Toronto,0.0,3486.7220172564316
260,2000-04-23,ARI,SFN,Phoenix,0.0,3188.9619650868126
261,2000-04-23,ATL,PIT,Atlanta,0.0,839.1684088950178
262,2000-04-23,CIN,LAN,Cincinnati,0.0,1147.0541058560368
263,2000-04-23,FLO,PHI,Miami,0.0,3188.9619650868126
264,2000-04-23,HOU,SDN,Houston,1830.9507633957282,2283.4731891218285
265,2000-04-23,MON,MIL,Montreal,0.0,1147.0541058560368
266,2000-04-23,NYN,CHN,New York,10870.832449398718,10870.832449398718
267,2000-04-23,SLN,COL,St. Louis,0.0,751.5565326239617
268,2000-04-23,CHA,DET,Chicago,1315.6827805633404,2979.1608164587815
269,2000-04-23,OAK,BAL,Oakland,0.0,3941.189395311595
270,2000-04-23,SEA,KCA,Seattle,0.0,3334.1735367384895
271,2000-04-23,TBA,ANA,St. Petersburg,7290.366266978277,9205.096125674738
272,2000-04-23,TEX,MIN,Arlington,0.0,1398.8578169230404
273,2000-04-23,TOR,NYA,Toronto,0.0,3486.7220172564316
274,2000-04-24,FLO,PHI,Miami,0.0,3188.9619650868126
275,2000-04-24,NYN,LAN,New York,10870.832449398718,533.3756123743032
276,2000-04-24,ANA,DET,Anaheim,0.0,590.7929464473488
277,2000-04-24,CHA,BAL,Chicago,1315.6827805633404,974.7987348037739
278,2000-04-24,NYA,MIN,New York,3926.295550369479,1639.5596537580507
279,2000-04-24,OAK,TOR,Oakland,0.0,3639.2913103128753
280,2000-04-24,SEA,CLE,Seattle,0.0,3756.165388391585
281,2000-04-24,TEX,BOS,Arlington,0.0,2688.6517471925995
282,2000-04-25,ATL,LAN,Atlanta,0.0,1598.715350537256
283,2000-04-25,FLO,SFN,Miami,0.0,0.0
284,2000-04-25,HOU,CHN,Houston,1830.9507633957282,10753.983292400835
285,2000-04-25,MON,COL,Montreal,0.0,1598.715350537256
286,2000-04-25,NYN,CIN,New York,10870.832449398718,915.4415067782049
287,2000-04-25,PHI,ARI,Philadelphia,3351.29798207518,3351.29798207518
288,2000-04-25,PIT,SDN,Pittsburgh,0.0,507.4685719603499
289,2000-04-25,SLN,MIL,St. Louis,0.0,495.5592054504111
290,2000-04-25,ANA,DET,Anaheim,0.0,590.7929464473488
291,2000-04-25,CHA,BAL,Chicago,1315.6827805633404,974.7987348037739
292,2000-04-25,KCA,TBA,Kansas City,1365.4101499105916,661.7636302695871
293,2000-04-25,NYA,MIN,New York,3926.295550369479,1639.5596537580507
294,2000-04-25,OAK,TOR,Oakland,0.0,3639.2913103128753
295,2000-04-25,SEA,CLE,Seattle,0.0,3756.165388391585
296,2000-04-25,TEX,BOS,Arlington,0.0,2688.6517471925995
297,2000-04-26,ATL,LAN,Atlanta,0.0,1598.715350537256
298,2000-04-26,FLO,SFN,Miami,0.0,0.0
299,2000-04-26,HOU,CHN,Houston,1830.9507633957282,10753.983292400835
300,2000-04-26,MON,COL,Montreal,0.0,1598.715350537256
301,2000-04-26,NYN,CIN,New York,10870.832449398718,915.4415067782049
302,2000-04-26,PHI,ARI,Philadelphia,3351.29798207518,3351.29798207518
303,2000-04-26,PIT,SDN,Pittsburgh,0.0,507.4685719603499
304,2000-04-26,SLN,MIL,St. Louis,0.0,495.5592054504111
305,2000-04-26,ANA,DET,Anaheim,0.0,590.7929464473488
306,2000-04-26,CHA,BAL,Chicago,1315.6827805633404,974.7987348037739
307,2000-04-26,KCA,TBA,Kansas City,1365.4101499105916,661.7636302695871
308,2000-04-26,NYA,MIN,New York,3926.295550369479,1639.5596537580507
309,2000-04-26,OAK,TOR,Oakland,0.0,3639.2913103128753
310,2000-04-26,SEA,CLE,Seattle,0.0,3756.165388391585
311,2000-04-26,TEX,BOS,Arlington,0.0,2688.6517471925995
312,2000-04-27,ATL,LAN,Atlanta,0.0,1598.715350537256
313,2000-04-27,HOU,CHN,Houston,1830.9507633957282,10753.983292400835
314,2000-04-27,NYN,CIN,New York,10870.832449398718,915.4415067782049
315,2000-04-27,PHI,ARI,Philadelphia,3351.29798207518,3351.29798207518
316,2000-04-27,PIT,SDN,Pittsburgh,0.0,507.4685719603499
317,2000-04-27,SLN,MIL,St. Louis,0.0,495.5592054504111
318,2000-04-27,ANA,TBA,Anaheim,0.0,2442.3606921895343
319,2000-04-27,CHA,BAL,Chicago,1315.6827805633404,974.7987348037739
320,2000-04-28,CHN,ARI,Chicago,10159.00877586389,2340.6634690553337
321,2000-04-28,COL,NYN,Denver,1950.2528819683787,9349.52862043619
322,2000-04-28,LAN,FLO,Los Angeles,3974.8856076394213,3764.185821582286
323,2000-04-28,MIL,HOU,Milwaukee,522.3574047614876,719.6245108451392
324,2000-04-28,PHI,SLN,Philadelphia,3351.29798207518,1303.182115517947
325,2000-04-28,PIT,CIN,Pittsburgh,0.0,414.99520785227077
326,2000-04-28,SDN,ATL,San Diego,3915.39807350928,3043.8850912547364
327,2000-04-28,SFN,MON,San Francisco,4175.4954817182615,4093.804290596401
328,2000-04-28,ANA,TBA,Anaheim,0.0,2442.3606921895343
329,2000-04-28,BAL,TEX,Baltimore,0.0,1980.102843370817
330,2000-04-28,CLE,BOS,Cleveland,496.24153962192827,3260.188257755617
331,2000-04-28,DET,CHA,Detroit,3353.596216190899,1632.731820083063
332,2000-04-28,KCA,SEA,Kansas City,1365.4101499105916,2423.5598623823344
333,2000-04-28,MIN,OAK,Minneapolis,0.0,2537.4425377612374
334,2000-04-28,NYA,TOR,New York,3926.295550369479,551.2472669034609
335,2000-04-29,CHN,ARI,Chicago,10159.00877586389,2340.6634690553337
336,2000-04-29,COL,NYN,Denver,1950.2528819683787,9349.52862043619
337,2000-04-29,LAN,FLO,Los Angeles,3974.8856076394213,3764.185821582286
338,2000-04-29,MIL,HOU,Milwaukee,522.3574047614876,719.6245108451392
339,2000-04-29,PHI,SLN,Philadelphia,3351.29798207518,1303.182115517947
340,2000-04-29,PIT,CIN,Pittsburgh,0.0,414.99520785227077
341,2000-04-29,SDN,ATL,San Diego,3915.39807350928,3043.8850912547364
342,2000-04-29,SFN,MON,San Francisco,4175.4954817182615,4093.804290596401
343,2000-04-29,ANA,TBA,Anaheim,0.0,2442.3606921895343
344,2000-04-29,BAL,TEX,Baltimore,0.0,1980.102843370817
345,2000-04-29,CLE,BOS,Cleveland,496.24153962192827,3260.188257755617
346,2000-04-29,DET,CHA,Detroit,3353.596216190899,1632.731820083063
347,2000-04-29,KCA,SEA,Kansas City,1365.4101499105916,2423.5598623823344
348,2000-04-29,MIN,OAK,Minneapolis,0.0,2537.4425377612374
349,2000-04-29,NYA,TOR,New York,3926.295550369479,551.2472669034609
