,Unnamed: 0,game_date,home_team,away_team,is_day_game,home_score,away_score,venue,venue_name,city,state,home_pa,home_1b,home_2b,home_3b,home_hr,home_fo,home_so,home_bb,home_hbp,away_pa,away_1b,away_2b,away_3b,away_hr,away_fo,away_so,away_bb,away_hbp
1978,1978,20000830,SEA,NYA,False,4,5,SEA03,Safeco Field,Seattle,WA,43,6,4,0,0,19,6,6,2,43,7,0,0,1,20,8,7,0
1979,1979,20000830,TBA,BOS,False,3,1,STP01,Tropicana Field,St. Petersburg,FL,33,2,2,0,0,18,8,3,0,35,8,3,0,0,14,8,2,0
1980,1980,20000830,TEX,CLE,False,3,5,ARL02,Rangers Ballpark in Arlington,Arlington,TX,42,9,4,0,0,21,5,3,0,39,7,0,0,0,20,6,6,0
1981,1981,20000831,ATL,CIN,False,3,4,ATL02,Turner Field,Atlanta,GA,38,6,2,0,0,21,7,2,0,37,3,0,0,1,15,9,8,1
1982,1982,20000831,CHN,SDN,True,5,11,CHI11,Wrigley Field,Chicago,IL,44,10,4,0,2,18,6,4,0,42,5,2,0,1,16,11,7,0
1983,1983,20000831,MIL,LAN,True,8,2,MIL05,County Stadium,Milwaukee,WI,36,6,2,0,0,21,6,1,0,40,9,3,0,2,20,4,2,0
1984,1984,20000831,PIT,SFN,True,2,10,PIT07,Three Rivers Stadium,Pittsburgh,PA,44,7,4,0,2,16,10,4,1,39,6,3,0,1,25,1,3,0
1985,1985,20000831,BAL,DET,False,1,6,BAL12,Oriole Park at Camden Yards,Baltimore,MD,39,8,1,1,1,17,9,2,0,36,3,2,0,0,16,12,2,1
1986,1986,20000831,TBA,KCA,False,2,1,STP01,Tropicana Field,St. Petersburg,FL,34,4,2,0,0,22,4,1,1,33,4,3,0,0,18,5,3,0
1987,1987,20000831,TEX,CLE,False,14,7,ARL02,Rangers Ballpark in Arlington,Arlington,TX,47,9,4,0,1,23,4,6,0,51,17,2,1,1,16,7,7,0
1988,1988,20000901,ARI,FLO,False,7,8,PHO01,Chase Field,Phoenix,AZ,51,11,2,0,2,21,8,7,0,49,9,3,0,1,29,3,4,0
1989,1989,20000901,CIN,MON,False,8,2,CIN08,Cinergy Field,Cincinnati,OH,37,4,3,0,0,21,6,3,0,40,4,4,0,2,15,8,6,1
1990,1990,20000901,COL,MIL,False,5,3,DEN02,Coors Field,Denver,CO,36,5,0,0,2,19,7,3,0,36,7,2,0,2,19,3,3,0
1991,1991,20000901,HOU,ATL,False,3,2,HOU03,Minute Maid Park,Houston,TX,36,4,2,0,1,23,4,2,0,36,5,0,0,1,16,8,6,0
1992,1992,20000901,LAN,PHI,False,2,1,LOS03,Dodger Stadium,Los Angeles,CA,30,2,2,0,0,18,7,1,0,34,4,2,0,1,15,8,4,0
1993,1993,20000901,SDN,PIT,False,2,3,SAN01,Qualcomm Stadium,San Diego,CA,45,8,2,0,0,26,7,1,1,39,6,0,0,0,23,6,4,0
1994,1994,20000901,SFN,CHN,False,7,2,SFO03,Oracle Park,San Francisco,CA,34,5,1,0,0,20,4,4,0,39,8,0,0,2,18,5,4,2
1995,1995,20000901,SLN,NYN,False,6,5,STL09,Busch Stadium II,St. Louis,MO,38,7,0,0,2,15,9,5,0,39,8,1,0,2,17,6,4,1
1996,1996,20000901,BOS,SEA,False,6,2,BOS07,Fenway Park,Boston,MA,34,4,1,0,1,21,5,1,1,38,10,3,0,1,18,3,3,0
1997,1997,20000901,CHA,ANA,False,9,8,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,IL,40,6,1,1,2,20,6,4,0,39,8,3,0,3,18,5,2,0
1998,1998,20000901,CLE,BAL,False,5,2,CLE08,Progressive Field,Cleveland,OH,31,5,1,0,1,22,1,1,0,36,9,2,0,0,17,3,5,0
1999,1999,20000901,DET,TEX,False,7,5,DET05,Comerica Park,Detroit,MI,42,6,4,0,1,22,3,4,2,40,6,3,1,0,14,8,7,1
2000,2000,20000901,NYA,MIN,False,4,2,NYC16,Yankee Stadium I,New York,NY,33,2,3,0,1,20,7,0,0,38,5,2,0,3,22,3,3,0
2001,2001,20000901,TBA,KCA,False,5,9,STP01,Tropicana Field,St. Petersburg,FL,42,11,2,0,2,22,4,1,0,36,6,2,0,0,20,6,2,0
2002,2002,20000901,TOR,OAK,False,4,3,TOR02,Rogers Centre,Toronto,ONT,37,7,3,0,0,22,5,0,0,41,10,4,0,0,16,6,5,0
2003,2003,20000902,ARI,FLO,False,1,10,PHO01,Chase Field,Phoenix,AZ,44,10,3,1,3,22,4,0,1,38,8,0,1,0,18,9,1,1
2004,2004,20000902,CIN,MON,False,5,9,CIN08,Cinergy Field,Cincinnati,OH,44,5,3,2,2,25,1,6,0,37,3,2,0,1,19,6,5,1
2005,2005,20000902,COL,MIL,True,3,8,DEN02,Coors Field,Denver,CO,46,10,4,0,0,20,2,10,0,39,6,3,0,1,19,5,5,0
2006,2006,20000902,HOU,ATL,False,6,8,HOU03,Minute Maid Park,Houston,TX,40,4,4,0,2,15,9,6,0,37,6,3,0,1,18,8,1,0
2007,2007,20000902,LAN,PHI,False,1,0,LOS03,Dodger Stadium,Los Angeles,CA,38,5,1,0,0,17,13,1,1,37,5,1,0,0,21,9,1,0
2008,2008,20000902,SDN,PIT,False,3,6,SAN01,Qualcomm Stadium,San Diego,CA,45,7,1,0,0,19,7,10,1,34,5,2,0,1,18,6,1,1
2009,2009,20000902,SFN,CHN,True,13,2,SFO03,Oracle Park,San Francisco,CA,36,7,1,0,0,22,4,2,0,46,5,3,0,2,12,11,11,2
2010,2010,20000902,SLN,NYN,True,2,1,STL09,Busch Stadium II,St. Louis,MO,31,4,1,0,0,24,2,0,0,37,8,1,0,0,20,4,3,1
2011,2011,20000902,BOS,SEA,True,1,4,BOS07,Fenway Park,Boston,MA,40,4,1,1,1,17,9,5,2,32,1,1,0,1,18,9,2,0
2012,2012,20000902,CHA,ANA,False,13,6,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,IL,39,4,0,0,1,22,5,7,0,42,10,3,0,1,19,4,5,0
2013,2013,20000902,CLE,BAL,True,6,8,CLE08,Progressive Field,Cleveland,OH,44,8,5,0,0,16,6,8,1,42,7,1,1,0,28,1,4,0
2014,2014,20000902,DET,TEX,False,5,3,DET05,Comerica Park,Detroit,MI,37,7,2,1,0,20,5,2,0,37,4,4,0,2,20,1,6,0
2015,2015,20000902,NYA,MIN,True,13,4,NYC16,Yankee Stadium I,New York,NY,35,7,2,0,1,19,4,2,0,39,7,1,0,3,14,5,8,1
