,game_date,home_team,away_team,is_day_game,venue,venue_name,city,distance_from_last_location_home_team,distance_from_last_location_away_team
1231,20000705,SLN,CIN,False,STL09,Busch Stadium II,St. Louis,0.0,495.5592054504111
1232,20000705,ANA,SEA,False,ANA01,Angel Stadium of Anaheim,Anaheim,0.0,1573.258911092884
1233,20000705,CLE,TOR,False,CLE08,Progressive Field,Cleveland,496.24153962192827,305.26178960405156
1234,20000705,KCA,CHA,False,KAN06,Kauffman Stadium,Kansas City,1365.4101499105916,742.0717119167393
1235,20000705,MIN,BOS,False,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,0.0,2245.1635914971234
1236,20000705,NYA,BAL,False,NYC16,Yankee Stadium I,New York,3926.295550369479,272.73605892878385
1237,20000705,TBA,DET,False,STP01,Tropicana Field,St. Petersburg,7290.366266978277,8877.90062236838
1238,20000705,TEX,OAK,False,ARL02,Rangers Ballpark in Arlington,Arlington,0.0,2349.8221185767593
1239,20000706,ATL,MON,True,ATL02,Turner Field,Atlanta,0.0,1598.715350537256
1240,20000706,HOU,ARI,False,HOU03,Minute Maid Park,Houston,1830.9507633957282,1635.2565051761562
1241,20000706,MIL,PHI,False,MIL05,County Stadium,Milwaukee,522.3574047614876,2355.2363219055746
1242,20000706,SDN,LAN,True,SAN01,Qualcomm Stadium,San Diego,3915.39807350928,3971.6000317897933
1243,20000706,SFN,COL,True,SFO03,Oracle Park,San Francisco,4175.4954817182615,3444.2312563186774
1244,20000706,SLN,CIN,False,STL09,Busch Stadium II,St. Louis,0.0,495.5592054504111
1245,20000706,ANA,SEA,False,ANA01,Angel Stadium of Anaheim,Anaheim,0.0,1573.258911092884
1246,20000706,CLE,TOR,False,CLE08,Progressive Field,Cleveland,496.24153962192827,305.26178960405156
1247,20000706,MIN,BOS,False,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,0.0,2245.1635914971234
1248,20000706,NYA,BAL,True,NYC16,Yankee Stadium I,New York,3926.295550369479,272.73605892878385
